Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Mitochondrial Alpha-Ketoglutarate Dehydrogenase Complex (GO:0005947),1/5,0.004243143988996933,0.1048633619138655,0,0,312.171875,1705.2235013634931,BCKDK
Dihydrolipoyl Dehydrogenase Complex (GO:0045240),1/7,0.005935661995124462,0.1048633619138655,0,0,208.09375,1066.8501922993223,BCKDK
TORC2 Complex (GO:0031932),1/7,0.005935661995124462,0.1048633619138655,0,0,208.09375,1066.8501922993223,MTOR
Neuron Projection (GO:0043005),3/557,0.010919768515031118,0.12682665658027853,0,0,7.515085095410005,33.946995902539186,CHRM4;KCNA1;STMN2
Cytoskeleton (GO:0005856),3/599,0.013289192309643767,0.12682665658027853,0,0,6.970397890699904,30.11772435910727,VASP;MARCKS;ADD2
Desmosome (GO:0030057),1/17,0.014357734707201345,0.12682665658027853,0,0,77.99609375,330.9738092431344,DSP
Dendrite (GO:0030425),2/270,0.021607375612663047,0.1441549769630511,0,0,9.808457711442786,37.61269443842846,CHRM4;KCNA1
Lytic Vacuole Membrane (GO:0098852),2/287,0.024214129932989156,0.1441549769630511,0,0,9.215438596491229,34.28897842123785,MTOR;CFTR
Intercalated Disc (GO:0014704),1/31,0.026035891626597023,0.1441549769630511,0,0,41.56875,151.6544078957345,DSP
Actin Cytoskeleton (GO:0015629),2/327,0.03082974170702536,0.1441549769630511,0,0,8.064820512820512,28.05973173740501,VASP;MARCKS
Cornified Envelope (GO:0001533),1/41,0.03429757374718933,0.1441549769630511,0,0,31.1609375,105.09589136420657,DSP
Lysosomal Membrane (GO:0005765),2/356,0.03602818857800297,0.1441549769630511,0,0,7.393220338983051,24.57102497939688,MTOR;CFTR
Cell-Cell Contact Zone (GO:0044291),1/47,0.0392228776844792,0.1441549769630511,0,0,27.088315217391305,87.72537577432398,DSP
Golgi-associated Vesicle (GO:0005798),1/47,0.0392228776844792,0.1441549769630511,0,0,27.088315217391305,87.72537577432398,CFTR
Focal Adhesion (GO:0005925),2/387,0.041937023704905575,0.1441549769630511,0,0,6.787186147186147,21.52614606767898,VASP;MARCKS
Cell-Substrate Junction (GO:0030055),2/395,0.04351848361148713,0.1441549769630511,0,0,6.646310432569974,20.8333221058981,VASP;MARCKS
Ficolin-1-Rich Granule Membrane (GO:0101003),1/60,0.04981338361381649,0.14812793378864,0,0,21.10593220338983,63.306643893512835,DSP
Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669),1/68,0.056275905553084066,0.14812793378864,0,0,18.578358208955223,53.4590176825742,CFTR
Intermediate Filament (GO:0005882),1/69,0.05708080589311695,0.14812793378864,0,0,18.30422794117647,52.410264641542106,DSP
Voltage-Gated Potassium Channel Complex (GO:0008076),1/73,0.06029395078422422,0.14812793378864,0,0,17.283854166666668,48.54211057952261,KCNA1
Intermediate Filament Cytoskeleton (GO:0045111),1/81,0.06668935033874882,0.14812793378864,0,0,15.54921875,42.10277516212065,DSP
Potassium Channel Complex (GO:0034705),1/81,0.06668935033874882,0.14812793378864,0,0,15.54921875,42.10277516212065,KCNA1
Lysosome (GO:0005764),2/503,0.06694059961452171,0.14812793378864,0,0,5.1848303393213575,14.0195200555695,MTOR;CFTR
Plasma Membrane Raft (GO:0044853),1/82,0.06748588875841267,0.14812793378864,0,0,15.35648148148148,41.39856725730863,ADD2
Clathrin-Coated Endocytic Vesicle (GO:0045334),1/85,0.06987166688143397,0.14812793378864,0,0,14.805803571428571,39.39965059231033,CFTR
Clathrin-Coated Vesicle Membrane (GO:0030665),1/90,0.07383520219328692,0.15051021985554638,0,0,13.970505617977528,36.406015342407166,CFTR
Phagocytic Vesicle (GO:0045335),1/100,0.08171463267155567,0.16040279746638705,0,0,12.553030303030305,31.43934295429433,MTOR
Asymmetric Synapse (GO:0032279),1/133,0.10727147167528207,0.1989407063039808,0,0,9.399147727272728,20.98258726036805,ADD2
Adherens Junction (GO:0005912),1/150,0.12017437982499952,0.1989407063039808,0,0,8.319630872483222,17.627728951176998,DSP
Mitochondrial Outer Membrane (GO:0005741),1/151,0.1209278817085618,0.1989407063039808,0,0,8.26375,17.457675385393244,BAD
Postsynaptic Density (GO:0014069),1/151,0.1209278817085618,0.1989407063039808,0,0,8.26375,17.457675385393244,ADD2
Recycling Endosome (GO:0055037),1/159,0.12693406952722158,0.1989407063039808,0,0,7.8421677215189876,16.18692009165463,CFTR
Endocytic Vesicle Membrane (GO:0030666),1/159,0.12693406952722158,0.1989407063039808,0,0,7.8421677215189876,16.18692009165463,CFTR
Tertiary Granule (GO:0070820),1/162,0.12917641598942675,0.1989407063039808,0,0,7.694875776397516,15.748149957406868,DSP
Membrane Raft (GO:0045121),1/169,0.13438749659312352,0.1989407063039808,0,0,7.371651785714286,14.79511070365777,ADD2
Organelle Outer Membrane (GO:0031968),1/170,0.1351295363574209,0.1989407063039808,0,0,7.327662721893491,14.66647398450944,BAD
Ficolin-1-Rich Granule (GO:0101002),1/184,0.1454554333771828,0.2083550802429916,0,0,6.762295081967213,13.03693089967284,DSP
Endocytic Vesicle (GO:0030139),1/196,0.15421373939927918,0.21508758389899463,0,0,6.342307692307692,11.856409705259928,MTOR
Lytic Vacuole (GO:0000323),1/223,0.17361201123765793,0.23593427168194545,0,0,5.563344594594595,9.741039691029968,MTOR
Polymeric Cytoskeletal Fiber (GO:0099513),1/265,0.20295681801904933,0.26891778387524035,0,0,4.668323863636363,7.444865696025388,DSP
Secretory Granule Membrane (GO:0030667),1/279,0.21251847664906087,0.2747190064000055,0,0,4.430080935251799,6.860983056947853,DSP
Cell-Cell Junction (GO:0005911),1/299,0.22599086627348913,0.2851139133563151,0,0,4.128565436241611,6.140253101071745,DSP
Early Endosome (GO:0005769),1/307,0.23131883536455752,0.2851139133563151,0,0,4.018995098039215,5.883641152830871,CFTR
Mitochondrial Matrix (GO:0005759),1/355,0.26256877849831073,0.313748040811331,0,0,3.465572033898305,4.634309233051603,BCKDK
Endosome Membrane (GO:0010008),1/361,0.2663898459718848,0.313748040811331,0,0,3.4067708333333333,4.50645757379683,CFTR
Cytoplasmic Vesicle Membrane (GO:0030659),1/389,0.28397640271880265,0.3271902031325335,0,0,3.156411082474227,3.97349270165002,CFTR
Mitochondrial Membrane (GO:0031966),1/540,0.3721777865287469,0.4196898443834805,0,0,2.254638218923933,2.2284474803278154,BAD
Intracellular Membrane-Bounded Organelle (GO:0043231),5/5175,0.4595881720961514,0.5074619400228338,0,0,1.1938265635074146,0.9281099816775252,DSP;CSF1R;PRKCB;MTOR;CFTR
Endoplasmic Reticulum Membrane (GO:0005789),1/801,0.5009963510838883,0.5394271216148522,0,0,1.498671875,1.035816749609214,CFTR
Bounding Membrane Of Organelle (GO:0098588),1/819,0.5088935109574076,0.5394271216148522,0,0,1.4643184596577017,0.989171275751218,CFTR
Intracellular Organelle Lumen (GO:0070013),1/856,0.5247586341966286,0.5453374041651239,0,0,1.3982456140350876,0.9016123554293234,BCKDK
Nucleus (GO:0005634),4/4487,0.5507043069221504,0.561294774362961,0,0,1.0638480413184852,0.6346462746390814,DSP;PRKCB;MTOR;CFTR
Intracellular Non-Membrane-Bounded Organelle (GO:0043232),1/1195,0.6492884620799145,0.6492884620799145,0,0,0.9835113065326632,0.4247570823281691,ADD2
